"Показник","Територіальний розріз","Тип будівлі","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3","2025-Q4"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Будівлі готельні та подібні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","744","","","","","","","","","","","4985","6120","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Житомирська","Житлові будинки з двома та більше квартирами","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","82054","","14078","40684","62188","","","41246","46373","","","","","","","48935","69934","","","43894","66274","","66709","95521","134862","","","53844","58473"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Житомирська","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","6960","1908","2226","6028","10663","","4804","5721","13144","","","","","","","","16679","","","","","","","","","","","8523",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Україна","Житлові будинки для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","13767","18219","31607","33145","47626","","2389","4069","9435","","2448","8135","17969","","","5156","10402","","","","7060","","","18852","22672","","","","6515"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Вінницька","Житлові будинки для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Волинська","Житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","","22085","74258","95926","171404","51816","134075","177599","206927","183","21717","66234","90025","42194","59136","131347","179401","10894","109461","421517","425185","","26818","97069","103321","53736","97989","140731","164273","40005","115291","176384","195880"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Офісні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","1968","","","","","","","","3909","","507","507","2432","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Україна","Інші нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","1095370","268730","415781","863422","1179384","179530","318328","521255","724219","85762","226163","607306","985475","85789","126681","193439","245117","44503","183714","374225","467896","111236","267471","417415","559820","150760","380269","630169",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Волинська","Промислові та складські будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","18105","30847","33490","39339","42287","12022","20193","22644","39096","7984","16327","36546","46417","4872","12084","25714","36960","14863","20988","23437","51384","9672","21742","30646","34325","14852","31314","40502",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Автономна Республіка Крим","Будівлі готельні та подібні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Автономна Республіка Крим","Будівлі транспорту та зв'язку","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Вінницька","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","15149","15403","21044","32488","39380","21325","23269","55797","59883","8625","11997","25270","31727","4005","15234","32136","33251","10860","16658","22274","26816","4126","15953","26353","32991","2807","69098","75346",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Україна","Нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 3. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","3832437","995357","2048452","3839965","5307329","841186","1665204","2836619","3791885","823585","2133928","4975506","6241656","967385","1428607","2001910","2538074","427199","1137312","1992675","2866693","816013","2032141","3294482","4414153","893944","2062489","3217878","4140865"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Закарпатська","Одноквартирні житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","","","","10726","2176","3671","","","3960","","","","","","","","719","2384","3492","","","","","","1504","","","","","2832","2982",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Україна","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","429767","115503","231905","488007","736071","54802","128426","200066","284702","57945","123387","370631","449180","43532","75382","90899","111392","18747","36506","74325","114846","15433","65478","114452","156231","45897","93507","146655",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Автономна Республіка Крим","Житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
